"Subject","Begin Date","Start","End Date","End","WholeDay","Alarm"
"Trayodasi; ","20.4.2020","0:00:00","21.4.2020","0:00:00","True","False"
"Caturdasi; ","21.4.2020","0:00:00","22.4.2020","0:00:00","True","False"
"Amavasya; Sri Gadadhara Pandita -- Appearance; ","22.4.2020","0:00:00","23.4.2020","0:00:00","True","False"
"Pratipat; ","23.4.2020","0:00:00","24.4.2020","0:00:00","True","False"
"Pratipat; ","24.4.2020","0:00:00","25.4.2020","0:00:00","True","False"
"Dvitiya; ","25.4.2020","0:00:00","26.4.2020","0:00:00","True","False"
"Tritiya; Aksaya Trtiya. Candana Yatra starts. (Continues for 21 days); ","26.4.2020","0:00:00","27.4.2020","0:00:00","True","False"
"Caturthi; ","27.4.2020","0:00:00","28.4.2020","0:00:00","True","False"
"Pancami; ","28.4.2020","0:00:00","29.4.2020","0:00:00","True","False"
"Sasti; ","29.4.2020","0:00:00","30.4.2020","0:00:00","True","False"
"Saptami; Jahnu Saptami; ","30.4.2020","0:00:00","1.5.2020","0:00:00","True","False"
"Astami; ","1.5.2020","0:00:00","2.5.2020","0:00:00","True","False"
"Navami; Srimati Sita Devi (consort of Lord Sri Rama) -- Appearance; Sri Madhu Pandita -- Disappearance; Srimati Jahnava Devi -- Appearance; ","2.5.2020","0:00:00","3.5.2020","0:00:00","True","False"
"Dasami; ","3.5.2020","0:00:00","4.5.2020","0:00:00","True","False"
"Dvadasi (suitable for fasting); Fasting for Mohini Ekadasi; Rukmini Dvadasi; ","4.5.2020","0:00:00","5.5.2020","0:00:00","True","False"
"Trayodasi; Break fast 04:37 - 10:02 (DST); Sri Jayananda Prabhu -- Disappearance; ","5.5.2020","0:00:00","6.5.2020","0:00:00","True","False"
"Caturdasi; Nrsimha Caturdasi: Appearance of Lord Nrsimhadeva; (Fast today); ","6.5.2020","0:00:00","7.5.2020","0:00:00","True","False"
"Purnima; Krsna Phula Dola, Salila Vihara; Sri Paramesvari Dasa Thakura -- Disappearance; Sri Sri Radha-Ramana Devaji -- Appearance; Sri Madhavendra Puri -- Appearance; Sri Srinivasa Acarya -- Appearance; Last day of Madhusudana Masa; ","7.5.2020","0:00:00","8.5.2020","0:00:00","True","False"
"Pratipat; First day of Trivikrama Masa; ","8.5.2020","0:00:00","9.5.2020","0:00:00","True","False"
"Dvitiya; ","9.5.2020","0:00:00","10.5.2020","0:00:00","True","False"
"Tritiya; ","10.5.2020","0:00:00","11.5.2020","0:00:00","True","False"
"Pancami; Sri Ramananda Raya -- Disappearance; ","11.5.2020","0:00:00","12.5.2020","0:00:00","True","False"
"Sasti; ","12.5.2020","0:00:00","13.5.2020","0:00:00","True","False"
"Saptami; ","13.5.2020","0:00:00","14.5.2020","0:00:00","True","False"
"Astami; Tulasi Jala Dan ends.; ","14.5.2020","0:00:00","15.5.2020","0:00:00","True","False"
"Astami; Vrsabha Sankranti; ","15.5.2020","0:00:00","16.5.2020","0:00:00","True","False"
"Navami; ","16.5.2020","0:00:00","17.5.2020","0:00:00","True","False"
"Dasami; ","17.5.2020","0:00:00","18.5.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Apara Ekadasi; ","18.5.2020","0:00:00","19.5.2020","0:00:00","True","False"
"Dvadasi; Break fast 04:05 - 09:51 (DST); Srila Vrndavana Dasa Thakura -- Appearance; ","19.5.2020","0:00:00","20.5.2020","0:00:00","True","False"
"Trayodasi; ","20.5.2020","0:00:00","21.5.2020","0:00:00","True","False"
"Caturdasi; ","21.5.2020","0:00:00","22.5.2020","0:00:00","True","False"
"Amavasya; ","22.5.2020","0:00:00","23.5.2020","0:00:00","True","False"
"Pratipat; ","23.5.2020","0:00:00","24.5.2020","0:00:00","True","False"
"Dvitiya; ","24.5.2020","0:00:00","25.5.2020","0:00:00","True","False"
"Tritiya; ","25.5.2020","0:00:00","26.5.2020","0:00:00","True","False"
"Caturthi; ","26.5.2020","0:00:00","27.5.2020","0:00:00","True","False"
"Pancami; ","27.5.2020","0:00:00","28.5.2020","0:00:00","True","False"
"Sasti; ","28.5.2020","0:00:00","29.5.2020","0:00:00","True","False"
"Saptami; ","29.5.2020","0:00:00","30.5.2020","0:00:00","True","False"
"Astami; ","30.5.2020","0:00:00","31.5.2020","0:00:00","True","False"
"Navami; ","31.5.2020","0:00:00","1.6.2020","0:00:00","True","False"
"Dasami; Sri Baladeva Vidyabhusana -- Disappearance; Ganga Puja; Srimati Gangamata Gosvamini -- Appearance; ","1.6.2020","0:00:00","2.6.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Pandava Nirjala Ekadasi; (Total fast, even from water, if you have broken Ekadasi); ","2.6.2020","0:00:00","3.6.2020","0:00:00","True","False"
"Dvadasi; Break fast 03:40 - 05:37 (DST); ","3.6.2020","0:00:00","4.6.2020","0:00:00","True","False"
"Caturdasi; Panihati Cida Dahi Utsava; ","4.6.2020","0:00:00","5.6.2020","0:00:00","True","False"
"Purnima; Snana Yatra; Sri Mukunda Datta -- Disappearance; Sri Sridhara Pandita -- Disappearance; Last day of Trivikrama Masa; ","5.6.2020","0:00:00","6.6.2020","0:00:00","True","False"
"Pratipat; Sri Syamananda Prabhu -- Disappearance; First day of Vamana Masa; ","6.6.2020","0:00:00","7.6.2020","0:00:00","True","False"
"Dvitiya; ","7.6.2020","0:00:00","8.6.2020","0:00:00","True","False"
"Tritiya; ","8.6.2020","0:00:00","9.6.2020","0:00:00","True","False"
"Caturthi; ","9.6.2020","0:00:00","10.6.2020","0:00:00","True","False"
"Pancami; Sri Vakresvara Pandita -- Appearance; ","10.6.2020","0:00:00","11.6.2020","0:00:00","True","False"
"Sasti; ","11.6.2020","0:00:00","12.6.2020","0:00:00","True","False"
"Saptami; ","12.6.2020","0:00:00","13.6.2020","0:00:00","True","False"
"Astami; ","13.6.2020","0:00:00","14.6.2020","0:00:00","True","False"
"Navami; ","14.6.2020","0:00:00","15.6.2020","0:00:00","True","False"
"Dasami; Sri Srivasa Pandita -- Disappearance; Mithuna Sankranti; ","15.6.2020","0:00:00","16.6.2020","0:00:00","True","False"
"Ekadasi (not suitable for fasting); ","16.6.2020","0:00:00","17.6.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Yogini Ekadasi; ","17.6.2020","0:00:00","18.6.2020","0:00:00","True","False"
"Dvadasi; Break fast 03:30 - 06:11 (DST); ","18.6.2020","0:00:00","19.6.2020","0:00:00","True","False"
"Trayodasi; ","19.6.2020","0:00:00","20.6.2020","0:00:00","True","False"
"Caturdasi; ","20.6.2020","0:00:00","21.6.2020","0:00:00","True","False"
"Amavasya; Sri Gadadhara Pandita -- Disappearance; Srila Bhaktivinoda Thakura -- Disappearance; ","21.6.2020","0:00:00","22.6.2020","0:00:00","True","False"
"Pratipat; Gundica Marjana; ","22.6.2020","0:00:00","23.6.2020","0:00:00","True","False"
"Dvitiya; Ratha Yatra; Sri Svarupa Damodara Gosvami -- Disappearance; Sri Sivananda Sena -- Disappearance; ","23.6.2020","0:00:00","24.6.2020","0:00:00","True","False"
"Tritiya; ","24.6.2020","0:00:00","25.6.2020","0:00:00","True","False"
"Caturthi; ","25.6.2020","0:00:00","26.6.2020","0:00:00","True","False"
"Pancami; ","26.6.2020","0:00:00","27.6.2020","0:00:00","True","False"
"Saptami; Hera Pancami (4 days after Ratha Yatra); Sri Vakresvara Pandita -- Disappearance; ","27.6.2020","0:00:00","28.6.2020","0:00:00","True","False"
"Astami; ","28.6.2020","0:00:00","29.6.2020","0:00:00","True","False"
"Navami; ","29.6.2020","0:00:00","30.6.2020","0:00:00","True","False"
"Dasami; ","30.6.2020","0:00:00","1.7.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Sayana Ekadasi; Return Ratha (8 days after Ratha Yatra); First month of Caturmasya begins [EKADASI SYSTEM]; (green leafy vegetable fast for one month); ","1.7.2020","0:00:00","2.7.2020","0:00:00","True","False"
"Dvadasi; Break fast 03:38 - 09:47 (DST); ","2.7.2020","0:00:00","3.7.2020","0:00:00","True","False"
"Trayodasi; ","3.7.2020","0:00:00","4.7.2020","0:00:00","True","False"
"Caturdasi; ","4.7.2020","0:00:00","5.7.2020","0:00:00","True","False"
"Purnima; Guru (Vyasa) Purnima; Srila Sanatana Gosvami -- Disappearance; Last day of Vamana Masa; ","5.7.2020","0:00:00","6.7.2020","0:00:00","True","False"
"Pratipat; First day of Sridhara Masa; ","6.7.2020","0:00:00","7.7.2020","0:00:00","True","False"
"Dvitiya; ","7.7.2020","0:00:00","8.7.2020","0:00:00","True","False"
"Tritiya; ","8.7.2020","0:00:00","9.7.2020","0:00:00","True","False"
"Caturthi; ","9.7.2020","0:00:00","10.7.2020","0:00:00","True","False"
"Pancami; Srila Gopala Bhatta Gosvami -- Disappearance; ","10.7.2020","0:00:00","11.7.2020","0:00:00","True","False"
"Sasti; ","11.7.2020","0:00:00","12.7.2020","0:00:00","True","False"
"Saptami; ","12.7.2020","0:00:00","13.7.2020","0:00:00","True","False"
"Astami; Srila Lokanatha Gosvami -- Disappearance; ","13.7.2020","0:00:00","14.7.2020","0:00:00","True","False"
"Navami; The incorporation of ISKCON in New York; ","14.7.2020","0:00:00","15.7.2020","0:00:00","True","False"
"Dasami; ","15.7.2020","0:00:00","16.7.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Kamika Ekadasi; Karka Sankranti; ","16.7.2020","0:00:00","17.7.2020","0:00:00","True","False"
"Dvadasi; Break fast 04:01 - 09:56 (DST); ","17.7.2020","0:00:00","18.7.2020","0:00:00","True","False"
"Trayodasi; ","18.7.2020","0:00:00","19.7.2020","0:00:00","True","False"
"Caturdasi; ","19.7.2020","0:00:00","20.7.2020","0:00:00","True","False"
"Amavasya; ","20.7.2020","0:00:00","21.7.2020","0:00:00","True","False"
"Pratipat; ","21.7.2020","0:00:00","22.7.2020","0:00:00","True","False"
"Dvitiya; ","22.7.2020","0:00:00","23.7.2020","0:00:00","True","False"
"Tritiya; ","23.7.2020","0:00:00","24.7.2020","0:00:00","True","False"
"Caturthi; Sri Raghunandana Thakura -- Disappearance; Sri Vamsidasa Babaji -- Disappearance; ","24.7.2020","0:00:00","25.7.2020","0:00:00","True","False"
"Pancami; ","25.7.2020","0:00:00","26.7.2020","0:00:00","True","False"
"Sasti; ","26.7.2020","0:00:00","27.7.2020","0:00:00","True","False"
"Astami; ","27.7.2020","0:00:00","28.7.2020","0:00:00","True","False"
"Navami; ","28.7.2020","0:00:00","29.7.2020","0:00:00","True","False"
"Dasami; Last day of the first Caturmasya month [EKADASI SYSTEM]; ","29.7.2020","0:00:00","30.7.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Pavitropana Ekadasi; Radha Govinda Jhulana Yatra begins; Second month of Caturmasya begins [EKADASI SYSTEM]; (yogurt fast for one month); ","30.7.2020","0:00:00","31.7.2020","0:00:00","True","False"
"Dvadasi; Break fast 04:31 - 10:06 (DST); Srila Rupa Gosvami -- Disappearance; Sri Gauridasa Pandita -- Disappearance; ","31.7.2020","0:00:00","1.8.2020","0:00:00","True","False"
"Trayodasi; ","1.8.2020","0:00:00","2.8.2020","0:00:00","True","False"
"Caturdasi; ","2.8.2020","0:00:00","3.8.2020","0:00:00","True","False"
"Purnima; Jhulana Yatra ends; Lord Balarama -- Appearance; (Fast today); Last day of Sridhara Masa; ","3.8.2020","0:00:00","4.8.2020","0:00:00","True","False"
"Pratipat; Srila Prabhupada's departure for the USA; First day of Hrsikesa Masa; ","4.8.2020","0:00:00","5.8.2020","0:00:00","True","False"
"Dvitiya; ","5.8.2020","0:00:00","6.8.2020","0:00:00","True","False"
"Tritiya; ","6.8.2020","0:00:00","7.8.2020","0:00:00","True","False"
"Caturthi; ","7.8.2020","0:00:00","8.8.2020","0:00:00","True","False"
"Pancami; ","8.8.2020","0:00:00","9.8.2020","0:00:00","True","False"
"Sasti; ","9.8.2020","0:00:00","10.8.2020","0:00:00","True","False"
"Saptami; ","10.8.2020","0:00:00","11.8.2020","0:00:00","True","False"
"Saptami; ","11.8.2020","0:00:00","12.8.2020","0:00:00","True","False"
"Astami; Sri Krsna Janmastami: Appearance of Lord Sri Krsna; (Fast today); ","12.8.2020","0:00:00","13.8.2020","0:00:00","True","False"
"Navami; Nandotsava; Srila Prabhupada -- Appearance; ","13.8.2020","0:00:00","14.8.2020","0:00:00","True","False"
"Dasami; ","14.8.2020","0:00:00","15.8.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Annada Ekadasi; ","15.8.2020","0:00:00","16.8.2020","0:00:00","True","False"
"Dvadasi; Break fast 05:08 - 10:16 (DST); ","16.8.2020","0:00:00","17.8.2020","0:00:00","True","False"
"Trayodasi; Simha Sankranti; ","17.8.2020","0:00:00","18.8.2020","0:00:00","True","False"
"Caturdasi; ","18.8.2020","0:00:00","19.8.2020","0:00:00","True","False"
"Pratipat; ","19.8.2020","0:00:00","20.8.2020","0:00:00","True","False"
"Dvitiya; ","20.8.2020","0:00:00","21.8.2020","0:00:00","True","False"
"Tritiya; ","21.8.2020","0:00:00","22.8.2020","0:00:00","True","False"
"Caturthi; ","22.8.2020","0:00:00","23.8.2020","0:00:00","True","False"
"Pancami; Srimati Sita Thakurani (Sri Advaita's consort) -- Appearance; ","23.8.2020","0:00:00","24.8.2020","0:00:00","True","False"
"Sasti; Lalita sasti; ","24.8.2020","0:00:00","25.8.2020","0:00:00","True","False"
"Saptami; ","25.8.2020","0:00:00","26.8.2020","0:00:00","True","False"
"Astami; Radhastami: Appearance of Srimati Radharani; ","26.8.2020","0:00:00","27.8.2020","0:00:00","True","False"
"Navami; ","27.8.2020","0:00:00","28.8.2020","0:00:00","True","False"
"Ekadasi (not suitable for fasting); Last day of the second Caturmasya month [EKADASI SYSTEM]; ","28.8.2020","0:00:00","29.8.2020","0:00:00","True","False"
"Dvadasi (suitable for fasting); Fasting for Parsva Ekadasi; Sri Vamana Dvadasi: Appearance of Lord Vamanadeva; (Fast today); Srila Jiva Gosvami -- Appearance; Third month of Caturmasya begins [EKADASI SYSTEM]; (milk fast for one month); ","29.8.2020","0:00:00","30.8.2020","0:00:00","True","False"
"Trayodasi; Break fast 05:40 - 10:25 (DST); Srila Bhaktivinoda Thakura -- Appearance; ","30.8.2020","0:00:00","31.8.2020","0:00:00","True","False"
"Caturdasi; Ananta Caturdasi Vrata; Srila Haridasa Thakura -- Disappearance; ","31.8.2020","0:00:00","1.9.2020","0:00:00","True","False"
"Caturdasi; ","1.9.2020","0:00:00","2.9.2020","0:00:00","True","False"
"Purnima; Sri Visvarupa Mahotsava; Acceptance of sannyasa by Srila Prabhupada; Last day of Hrsikesa Masa; ","2.9.2020","0:00:00","3.9.2020","0:00:00","True","False"
"Pratipat; First day of Padmanabha Masa; ","3.9.2020","0:00:00","4.9.2020","0:00:00","True","False"
"Dvitiya; ","4.9.2020","0:00:00","5.9.2020","0:00:00","True","False"
"Tritiya; ","5.9.2020","0:00:00","6.9.2020","0:00:00","True","False"
"Caturthi; ","6.9.2020","0:00:00","7.9.2020","0:00:00","True","False"
"Pancami; ","7.9.2020","0:00:00","8.9.2020","0:00:00","True","False"
"Sasti; ","8.9.2020","0:00:00","9.9.2020","0:00:00","True","False"
"Saptami; Srila Prabhupada's arrival in the USA; ","9.9.2020","0:00:00","10.9.2020","0:00:00","True","False"
"Astami; ","10.9.2020","0:00:00","11.9.2020","0:00:00","True","False"
"Navami; ","11.9.2020","0:00:00","12.9.2020","0:00:00","True","False"
"Dasami; ","12.9.2020","0:00:00","13.9.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Indira Ekadasi; ","13.9.2020","0:00:00","14.9.2020","0:00:00","True","False"
"Dvadasi; Break fast 06:14 - 10:33 (DST); ","14.9.2020","0:00:00","15.9.2020","0:00:00","True","False"
"Trayodasi; ","15.9.2020","0:00:00","16.9.2020","0:00:00","True","False"
"Caturdasi; ","16.9.2020","0:00:00","17.9.2020","0:00:00","True","False"
"Amavasya; Kanya Sankranti; Last day of Padmanabha Masa; ","17.9.2020","0:00:00","18.9.2020","0:00:00","True","False"
"Pratipat; First day of Purusottama-adhika Masa; ","18.9.2020","0:00:00","19.9.2020","0:00:00","True","False"
"Tritiya; ","19.9.2020","0:00:00","20.9.2020","0:00:00","True","False"
"Caturthi; ","20.9.2020","0:00:00","21.9.2020","0:00:00","True","False"
"Pancami; ","21.9.2020","0:00:00","22.9.2020","0:00:00","True","False"
"Sasti; ","22.9.2020","0:00:00","23.9.2020","0:00:00","True","False"
"Saptami; ","23.9.2020","0:00:00","24.9.2020","0:00:00","True","False"
"Astami; ","24.9.2020","0:00:00","25.9.2020","0:00:00","True","False"
"Navami; ","25.9.2020","0:00:00","26.9.2020","0:00:00","True","False"
"Dasami; ","26.9.2020","0:00:00","27.9.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Padmini Ekadasi; ","27.9.2020","0:00:00","28.9.2020","0:00:00","True","False"
"Dvadasi; Break fast 06:46 - 10:40 (DST); ","28.9.2020","0:00:00","29.9.2020","0:00:00","True","False"
"Trayodasi; ","29.9.2020","0:00:00","30.9.2020","0:00:00","True","False"
"Caturdasi; ","30.9.2020","0:00:00","1.10.2020","0:00:00","True","False"
"Purnima; ","1.10.2020","0:00:00","2.10.2020","0:00:00","True","False"
"Pratipat; ","2.10.2020","0:00:00","3.10.2020","0:00:00","True","False"
"Dvitiya; ","3.10.2020","0:00:00","4.10.2020","0:00:00","True","False"
"Tritiya; ","4.10.2020","0:00:00","5.10.2020","0:00:00","True","False"
"Caturthi; ","5.10.2020","0:00:00","6.10.2020","0:00:00","True","False"
"Caturthi; ","6.10.2020","0:00:00","7.10.2020","0:00:00","True","False"
"Pancami; ","7.10.2020","0:00:00","8.10.2020","0:00:00","True","False"
"Sasti; ","8.10.2020","0:00:00","9.10.2020","0:00:00","True","False"
"Saptami; ","9.10.2020","0:00:00","10.10.2020","0:00:00","True","False"
"Astami; ","10.10.2020","0:00:00","11.10.2020","0:00:00","True","False"
"Navami; ","11.10.2020","0:00:00","12.10.2020","0:00:00","True","False"
"Dasami; ","12.10.2020","0:00:00","13.10.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Parama Ekadasi; ","13.10.2020","0:00:00","14.10.2020","0:00:00","True","False"
"Dvadasi; Break fast 07:24 - 08:23 (DST); ","14.10.2020","0:00:00","15.10.2020","0:00:00","True","False"
"Caturdasi; ","15.10.2020","0:00:00","16.10.2020","0:00:00","True","False"
"Amavasya; Last day of Purusottama-adhika Masa; ","16.10.2020","0:00:00","17.10.2020","0:00:00","True","False"
"Pratipat; Tula Sankranti; Third month of Caturmasya continues; First day of Padmanabha Masa; ","17.10.2020","0:00:00","18.10.2020","0:00:00","True","False"
"Dvitiya; ","18.10.2020","0:00:00","19.10.2020","0:00:00","True","False"
"Tritiya; ","19.10.2020","0:00:00","20.10.2020","0:00:00","True","False"
"Caturthi; ","20.10.2020","0:00:00","21.10.2020","0:00:00","True","False"
"Sasti; ","21.10.2020","0:00:00","22.10.2020","0:00:00","True","False"
"Saptami; Durga Puja; ","22.10.2020","0:00:00","23.10.2020","0:00:00","True","False"
"Astami; ","23.10.2020","0:00:00","24.10.2020","0:00:00","True","False"
"Navami; ","24.10.2020","0:00:00","25.10.2020","0:00:00","True","False"
"Dasami; Ramacandra Vijayotsava; Sri Madhvacarya -- Appearance; ","25.10.2020","0:00:00","26.10.2020","0:00:00","True","False"
"Ekadasi (not suitable for fasting); Last day of the third Caturmasya month [EKADASI SYSTEM]; ","26.10.2020","0:00:00","27.10.2020","0:00:00","True","False"
"Dvadasi (suitable for fasting); Vyanjuli Mahadvadasi; Fasting for Pasankusa Ekadasi; Srila Raghunatha Dasa Gosvami -- Disappearance; Srila Raghunatha Bhatta Gosvami -- Disappearance; Srila Krsnadasa Kaviraja Gosvami -- Disappearance; Fourth month of Caturmasya begins [EKADASI SYSTEM]; (urad dal fast for one month); ","27.10.2020","0:00:00","28.10.2020","0:00:00","True","False"
"Dvadasi; Break fast 06:58 - 08:26 (LT); ","28.10.2020","0:00:00","29.10.2020","0:00:00","True","False"
"Trayodasi; ","29.10.2020","0:00:00","30.10.2020","0:00:00","True","False"
"Caturdasi; ","30.10.2020","0:00:00","31.10.2020","0:00:00","True","False"
"Purnima; Sri Krsna Saradiya Rasayatra; Sri Murari Gupta -- Disappearance; Laksmi Puja; Last day of Padmanabha Masa; ","31.10.2020","0:00:00","1.11.2020","0:00:00","True","False"
"Pratipat; First day of Damodara Masa; ","1.11.2020","0:00:00","2.11.2020","0:00:00","True","False"
"Dvitiya; ","2.11.2020","0:00:00","3.11.2020","0:00:00","True","False"
"Tritiya; ","3.11.2020","0:00:00","4.11.2020","0:00:00","True","False"
"Caturthi; ","4.11.2020","0:00:00","5.11.2020","0:00:00","True","False"
"Pancami; Srila Narottama Dasa Thakura -- Disappearance; ","5.11.2020","0:00:00","6.11.2020","0:00:00","True","False"
"Sasti; ","6.11.2020","0:00:00","7.11.2020","0:00:00","True","False"
"Saptami; ","7.11.2020","0:00:00","8.11.2020","0:00:00","True","False"
"Astami; Appearance of Radha Kunda, snana dana; Bahulastami; ","8.11.2020","0:00:00","9.11.2020","0:00:00","True","False"
"Navami; Sri Virabhadra -- Appearance; ","9.11.2020","0:00:00","10.11.2020","0:00:00","True","False"
"Dasami; ","10.11.2020","0:00:00","11.11.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Rama Ekadasi; ","11.11.2020","0:00:00","12.11.2020","0:00:00","True","False"
"Dvadasi; Break fast 07:35 - 10:12 (LT); ","12.11.2020","0:00:00","13.11.2020","0:00:00","True","False"
"Trayodasi; ","13.11.2020","0:00:00","14.11.2020","0:00:00","True","False"
"Caturdasi; ","14.11.2020","0:00:00","15.11.2020","0:00:00","True","False"
"Pratipat; Go Puja. Go Krda. Govardhana Puja.; Dipa dana, Dipavali, (Kali Puja); Bali Daityaraja Puja; Sri Rasikananda -- Appearance; ","15.11.2020","0:00:00","16.11.2020","0:00:00","True","False"
"Dvitiya; Sri Vasudeva Ghosh -- Disappearance; Vrscika Sankranti; ","16.11.2020","0:00:00","17.11.2020","0:00:00","True","False"
"Tritiya; ","17.11.2020","0:00:00","18.11.2020","0:00:00","True","False"
